Date,Open,High,Low,Close,Volume,Adj Close
1996-03-01,27.63,27.63,23,24.56,41824600,0.83
1996-02-01,27.5,30.25,27.25,27.5,59562300,0.93
1996-01-02,32.25,35.5,26.86,27.63,120775800,0.93
1995-12-01,38,40.13,31.62,31.87,85804700,1.08
1995-11-01,36.63,42.5,35.5,38.13,59989800,1.29
1995-10-02,37.75,39.56,33.62,36.31,77133200,1.22
1995-09-01,43,45.5,34.75,37.25,94936200,1.26
1995-08-01,44.88,46.25,41.88,43,58486700,1.45
1995-07-03,46.5,49.88,43,45,73226300,1.51
1995-06-01,41.88,50.13,41.5,46.44,64629900,1.56
1995-05-01,38.25,44.37,37.5,41.56,74365900,1.4
1995-04-03,35.5,39.63,33.62,38.25,77231800,1.28
1995-03-01,39.75,40.75,33.87,35.25,78047600,1.18
1995-02-01,40.75,44.5,38,39.5,72662000,1.32
1995-01-03,38.87,48.06,37.88,40.37,99700900,1.35
1994-12-01,37,39.88,34.75,39,45962900,1.3
1994-11-01,42.88,43.48,36.38,37.25,51916400,1.25
1994-10-03,33.62,43.75,32.5,43.19,96064100,1.44
1994-09-01,35.37,37.25,33.37,33.69,39337400,1.12
1994-08-01,33.62,37.37,32.12,36.19,53551400,1.21
1994-07-01,26.37,34,25.38,33.69,67547900,1.12
1994-06-01,28.5,28.62,24.62,26.5,54244500,0.88
1994-05-02,30,33.75,28.5,29.25,43084000,0.97
1994-04-04,32.25,34.25,27,30,54433100,0.99
1994-03-01,36.75,38.5,31.5,33.25,59424400,1.1
1994-02-01,33,38.25,32.25,36.5,58003700,1.21
1994-01-03,29.5,35.25,28.75,32.75,90124000,1.08
1993-12-01,32,32.5,26.5,29.25,46794700,0.96
1993-11-01,30.75,35,29.75,31.5,42437700,1.04
1993-10-01,22.75,32.25,22,30.75,71930800,1.01
1993-09-01,26.5,27,23,23.37,46939600,0.77
1993-08-02,28.25,30.75,25.88,26.5,43307200,0.87
1993-07-01,39,39.75,25.5,27.75,87587600,0.91
1993-06-01,56.5,58.25,38.5,39.5,89484600,1.29
1993-05-03,51.25,59.13,51,56.62,42306100,1.85
1993-04-01,51.25,52.5,46.75,51.25,48175600,1.67
1993-03-01,53,57.75,50.25,51.5,42223500,1.68
1993-02-01,59.25,61.5,51.5,53,65081100,1.73
1993-01-04,59.5,65.25,57.25,59.5,72604500,1.94
1992-12-01,57.25,61.25,54.5,59.75,38938000,1.95
1992-11-02,52.5,59.5,51.5,57.5,41088100,1.87
1992-10-01,44.75,54,41.5,52.5,41605200,1.71
1992-09-01,46.25,50,43.75,45.13,37568000,1.47
1992-08-03,46.75,47.25,41.5,46,34138600,1.5
1992-07-01,48,49.5,43.5,46.75,42312700,1.52
1992-06-01,57.25,59.5,42.75,48,57329800,1.56
1992-05-01,60,63.25,58.25,59.75,36024600,1.93
1992-04-01,57.25,61.25,53,60.12,49900600,1.95
1992-03-02,67.75,68.5,57.75,58.25,36344200,1.88
1992-02-03,64.75,70,61.75,67.5,34544600,2.18
1992-01-02,55.75,69,55.5,64.75,55087700,2.09
1991-12-02,50.75,58,48.5,56.37,32633300,1.82
1991-11-01,51.25,55.25,47.5,50.75,46626500,1.64
1991-10-01,49.25,56.25,46.5,51.5,41584700,1.66
1991-09-03,52.75,53.5,46.5,49.5,30703400,1.59
1991-08-01,46,55.5,45.75,53,48168000,1.71
1991-07-01,42.25,48.25,41.75,46.25,44162400,1.49
1991-06-03,47,49.5,40.25,41.5,53978800,1.33
1991-05-01,48,53.75,44,47,93076200,1.51
1991-04-01,68,73.25,54.5,55,90392000,1.76
1991-03-01,57,70.25,57,68,66116200,2.18
1991-02-01,55.5,62.25,54.75,57.25,75962300,1.84
1991-01-02,42.75,56,42,55.5,82726100,1.78
1990-12-03,37.25,45.25,37,43,51729500,1.38
1990-11-01,30.5,38.5,29.75,36.75,40191800,1.18
1990-10-01,29.5,32,24.25,30.75,56574700,0.98
1990-09-04,36.5,37.5,27.25,29,31355100,0.92
1990-08-01,42,43.75,33.5,37,35084700,1.18
1990-07-02,44.5,47.75,40,42,50712100,1.34
1990-06-01,41.38,44.88,37.5,44.75,50919600,1.42
1990-05-01,39.75,42.75,38.75,41.25,47939900,1.31
1990-04-02,40,44.25,38.13,39.38,47235800,1.25
1990-03-01,33.5,43.38,33.25,40.25,54316100,1.28
1990-02-01,34.5,35.25,32.25,34,34121300,1.08
1990-01-02,35.25,38.75,32.12,34,44220900,1.07
1989-12-01,44.5,45.75,32.5,35.25,76169900,1.11
1989-11-01,46.25,47.25,42.5,44.25,30814100,1.4
1989-10-02,44.5,50.38,42.5,46.5,47920900,1.47
1989-09-01,44.5,46.75,43,44.5,26133200,1.4
1989-08-01,39.75,45.75,39.25,44.5,37049900,1.4
1989-07-03,41.75,42,37.75,39.75,47506200,1.25
1989-06-01,47.75,50.25,39.5,41.25,46659300,1.3
1989-05-01,38.5,49,38.5,47.75,61006700,1.5
1989-04-03,35.5,41.63,33.87,39,50878500,1.22
